transcriptID,geneID
YBR280C_mRNA,YBR280C
YBR281C_mRNA,YBR281C
YBR282W_mRNA,YBR282W
YBR283C_mRNA,YBR283C
YBR284W_mRNA,YBR284W
YBR285W_mRNA,YBR285W
YBR286W_mRNA,YBR286W
YBR287W_mRNA,YBR287W
YBR288C_mRNA,YBR288C
YBR289W_mRNA,YBR289W
YBR290W_mRNA,YBR290W
YBR291C_mRNA,YBR291C
YBR292C_mRNA,YBR292C
YBR293W_mRNA,YBR293W
YBR294W_mRNA,YBR294W
YBR295W_mRNA,YBR295W
YBR296C_mRNA,YBR296C
YBR296C-A_mRNA,YBR296C-A
YBR297W_mRNA,YBR297W
YBR298C_mRNA,YBR298C
YBR298C-A_mRNA,YBR298C-A
YBR299W_mRNA,YBR299W
YBR300C_mRNA,YBR300C
YBR301W_mRNA,YBR301W
YBR302C_mRNA,YBR302C
YCL076W_mRNA,YCL076W
YCL073C_mRNA,YCL073C
YCL069W_mRNA,YCL069W
YCL068C_mRNA,YCL068C
YCL067C_mRNA,YCL067C
YCL066W_mRNA,YCL066W
YCL065W_mRNA,YCL065W
YCL064C_mRNA,YCL064C
YCL063W_mRNA,YCL063W
YCL061C_mRNA,YCL061C
YCL059C_mRNA,YCL059C
YCL058C_mRNA,YCL058C
YCL058W-A_mRNA,YCL058W-A
YCL057C-A_mRNA,YCL057C-A
YCL057W_mRNA,YCL057W
YCL056C_mRNA,YCL056C
YCL055W_mRNA,YCL055W
YCL054W-A_mRNA,YCL054W-A
YCL054W_mRNA,YCL054W
YCL052C_mRNA,YCL052C
YCL051W_mRNA,YCL051W
YCL050C_mRNA,YCL050C
YCL049C_mRNA,YCL049C
YCL048W-A_mRNA,YCL048W-A
YCL048W_mRNA,YCL048W
YCL047C_mRNA,YCL047C
YCL045C_mRNA,YCL045C
YCL046W_mRNA,YCL046W
YCL044C_mRNA,YCL044C
YCL043C_mRNA,YCL043C
YCL041C_mRNA,YCL041C
YCL042W_mRNA,YCL042W
YCL040W_mRNA,YCL040W
YCL039W_mRNA,YCL039W
YCL038C_mRNA,YCL038C
YCL037C_mRNA,YCL037C
YCL036W_mRNA,YCL036W
YCL035C_mRNA,YCL035C
YCL034W_mRNA,YCL034W
YCL033C_mRNA,YCL033C
YCL032W_mRNA,YCL032W
YCL031C_mRNA,YCL031C
YCL030C_mRNA,YCL030C
YCL029C_mRNA,YCL029C
YCL028W_mRNA,YCL028W
YCL027W_mRNA,YCL027W
YCL026C-B_mRNA,YCL026C-B
YCL026C-A_mRNA,YCL026C-A
YCL025C_mRNA,YCL025C
YCL023C_mRNA,YCL023C
YCL024W_mRNA,YCL024W
YCL022C_mRNA,YCL022C
YCL021W-A_mRNA,YCL021W-A
YCL018W_mRNA,YCL018W
YCL017C_mRNA,YCL017C
YCL016C_mRNA,YCL016C
YCL014W_mRNA,YCL014W
YCL012C_mRNA,YCL012C
YCL011C_mRNA,YCL011C
YCL010C_mRNA,YCL010C
YCL009C_mRNA,YCL009C
YCL008C_mRNA,YCL008C
YCL007C_mRNA,YCL007C
YCL005W-A_mRNA,YCL005W-A
YCL005W_mRNA,YCL005W
YCL004W_mRNA,YCL004W
YCL002C_mRNA,YCL002C
YCL001W_mRNA,YCL001W
YCL001W-A_mRNA,YCL001W-A
YCL001W-B_mRNA,YCL001W-B
YCR001W_mRNA,YCR001W
YCR002C_mRNA,YCR002C
YCR003W_mRNA,YCR003W
YCR004C_mRNA,YCR004C
YCR005C_mRNA,YCR005C
YCR006C_mRNA,YCR006C
YCR007C_mRNA,YCR007C
YCR008W_mRNA,YCR008W
YCR009C_mRNA,YCR009C
YCR010C_mRNA,YCR010C
YCR011C_mRNA,YCR011C
YCR012W_mRNA,YCR012W
YCR013C_mRNA,YCR013C
YCR014C_mRNA,YCR014C
YCR015C_mRNA,YCR015C
YCR016W_mRNA,YCR016W
YCR017C_mRNA,YCR017C
YCR018C_mRNA,YCR018C
YCR018C-A_mRNA,YCR018C-A
YCR019W_mRNA,YCR019W
YCR020C_mRNA,YCR020C
YCR020C-A_mRNA,YCR020C-A
YCR020W-B_mRNA,YCR020W-B
YCR021C_mRNA,YCR021C
YCR022C_mRNA,YCR022C
YCR023C_mRNA,YCR023C
YCR024C_mRNA,YCR024C
YCR024C-B_mRNA,YCR024C-B
YCR024C-A_mRNA,YCR024C-A
